List	ID	Language	Variety	AoA	Years	Proficiency
220	220l2301	Spanish	Venezuela	15	1.0	native
221	221l2302	Chinese	Cantonese	0	19.0	native
221	221l2302	Spanish	Mexico	13	5.0	intermediate
222	222l2303	Portuguese	Brazil	0	23.0	native
222	222l2303	Italian		20	3.0	beginner
223	223l2304	Chinese	Mandarin	0	29.0	native
224	224l2305	Chinese		0	26.0	native
225	225l2306	Chinese	Mandarin	0	27.0	native
226	226l2307	Arabic		0	31.0	native
226	226l2307	German	Germany	5	25.0	intermediate
227	227l2308	Chinese	Mandarin	0	23.0	native
228	228l1119					
229	229l2309	Portuguese	Brazil	0	28.0	native
229	229l2309	Spanish		21	2.0	beginner
231	231l1120					
232	232l2311	Chinese	Mandarin	0	30.0	native
233	233l2312	Chinese	Mandarin	0	23.0	native
234	234l2313	Chinese	Mandarin	0	21.0	native
234	234l2313	Korean	Korea	20	1.0	beginner
235	235l1121					
236	236l1122	Chinese	Mandarin	4	10.0	advanced
236	236l1122	French	France	13	6.0	intermediate
237	237l2314	Arabic	Lebanon	1	28.0	native
237	237l2314	French		3	20.0	advanced
238	238l1123	Spanish		12	11.0	intermediate
239	239l1124	Spanish		13	8.0	intermediate
240	240l1125	Spanish		14	14.0	advanced
241	241l1126					
242	242l1127	Spanish		10	14.0	advanced
242	242l1127	Japanese		13	10.0	intermediate
243	243l1128	Spanish		12	6.0	beginner
244	244l1129					
245	245l1130	German		19	3.0	beginner
246	246l1131	Spanish		13	25.0	advanced
246	246l1131	French	France	10	3.0	intermediate
246	246l1131	Arabic	Jordan	0	6.0	beginner
246	246l1131	Portuguese	Portugal	20	13.0	beginner
248	248l1133					
249	249l1134					
250	250l1135					
252	252l2316	Portuguese	Brazil	0	29.0	native
253	253l2317	Japanese		0	34.0	native
253	253l2317	French		30	3.0	intermediate
254	254l2318	Arabic	Jordan	0	10.0	native
254	254l2318	French	France	9	5.0	beginner
256	256l2320	Portuguese	Brazil	0	29.0	native
257	257l2321	Chinese	Cantonese	0	27.0	native
257	257l2321	Chinese	Mandarin	0	24.0	native
257	257l2321	Korean		26	1.0	beginner
258	258l2322	Japanese		0	22.0	native
258	258l2322	French	France	19	1.0	beginner
259	259l2323	Japanese		0	28.0	native
260	260l2324	Japanese		0	31.0	native
261	261l2325	Japanese		0	29.0	native
262	262l2326	Arabic	Saudi Arabia	0	21.0	native
263	263l2327	Arabic		0	21.0	native
263	263l2327	Spanish		19	2.0	intermediate
264	264l2328	Japanese		0	29.0	native
265	265l2329	Arabic	Saudi Arabia	0	25.0	native
266	266l2330	Arabic		0	31.0	native
266	266l2330	Turkish	Turkey	27	3.0	beginner
267	267l2331	Portuguese		0	30.0	native
267	267l2331	French		20	3.0	beginner
267	267l2331	Spanish		25	5.0	beginner
268	268l2332	Japanese		0	33.0	native
269	269l2333	Portuguese	Brazil	0	26.0	native
270	270l2334	Portuguese		0	25.0	native
271	271l2335	Arabic		0	30.0	native
272	272l2336	Portuguese		0	23.0	native
273	273l2337	Japanese		0	32.0	native
274	274l2338	Japanese		0	33.0	native
275	275l1138	Spanish	USA	13	4.0	beginner
276	276l2339	Arabic	Iraq	0	44.0	native
277	277l1137	Spanish		0	25.0	beginner
278	278l1139	Spanish		8	6.0	intermediate
279	279l1140					
280	280l2340	Arabic	Saudi Arabia	0	33.0	native
281	281l1141	Spanish		10	10.0	beginner
282	282l1142					
283	283l1143	American Sign Language		22	5.0	advanced
284	284l2341	Japanese		0	40.0	native
285	285l2342	Japanese		1	20.0	native
287	287l2343	Japanese		0	25.0	native
287	287l2343	Chinese		18	4.0	beginner
288	288l2344	Spanish	Spain	0	22.0	native
289	289l2345	Japanese		0	20.0	native
290	290l2346	Spanish	Spain	0	20.0	native
290	290l2346	French		19	1.0	beginner
291	291l2347	Spanish		0	26.0	native
292	292l2348	Spanish	Spain	0	20.0	native
292	292l2348	French		14	6.0	intermediate
292	292l2348	German		16	2.0	beginner
293	293l2349	Japanese		0	34.0	native
294	294l2350	Portuguese	Brazil	0	24.0	native
295	295l2351	Chinese	Mandarin	0	26.0	native
296	296l2352	Chinese	Mandarin	0	34.0	native
